bin,start_delta_index,end_delta_index,dx_mean_abs_delta,dy_mean_abs_delta,dz_mean_abs_delta,droll_mean_abs_delta,dpitch_mean_abs_delta,dyaw_mean_abs_delta,gripper_mean_abs_delta
37,198042,203394,0.0466157927356934,0.0341719295867301,0.04608018810394118,0.08587395357716544,0.06382343869926402,0.07187445913327609,0.04446935724962631
38,203394,208747,0.04560766246331945,0.03692030557658884,0.04819279543869693,0.08607001759814042,0.06753558937931119,0.07703038355868193,0.04035120493181393
39,208747,214099,0.04737863654084421,0.03455869249156491,0.049222489232934624,0.09016038295395061,0.0704170482139433,0.07778083999588144,0.042600896860986545
40,214099,219452,0.04430226500896288,0.036249277572763146,0.04292896219331405,0.10039348204174692,0.06647841284520357,0.07975533636689111,0.04259293853913693
41,219452,224804,0.0502464909499808,0.032368390084315406,0.047857515898893255,0.12860314708914317,0.07045536630677017,0.08552097200651719,0.052690582959641255
42,224804,230157,0.05003793208896767,0.04123165726185487,0.0597123062574028,0.15060231551351938,0.08550873688062731,0.09533115142092208,0.06090042966560807
43,230157,235509,0.051937944117134524,0.039339024662920684,0.05586392024362318,0.13349219731151984,0.08015578761000797,0.08639854595869194,0.059790732436472344
44,235509,240862,0.05814716653365888,0.04837059394000332,0.07067607086277579,0.15124366513817958,0.09016254639346036,0.09898533214468824,0.06314216327293107
45,240862,246214,0.03914434004555101,0.03466187653427922,0.04541735362014146,0.09263130815233386,0.06613510985350639,0.06862008571100607,0.043721973094170405
46,246214,251567,0.03967908687210222,0.027394517744071752,0.03921886658092791,0.08065736375017109,0.061201667195717555,0.06630803278330492,0.03325238184195778
47,251567,256919,0.03532222300925196,0.02878213671581922,0.043066654722544645,0.08000571270129374,0.06533130588031537,0.06644514477766388,0.03139013452914798
48,256919,262272,0.043078258443843345,0.03058249590546406,0.047281095823367016,0.08785478653642972,0.05994292154492082,0.06778702284931018,0.044461049878572766
49,262272,267624,0.04881760126711684,0.0387484112768891,0.054380826795813055,0.09965169864340788,0.0765673032872329,0.07965441058451814,0.05194319880418535
50,267624,272976,0.0557413302733922,0.047171193154361836,0.06030124442195886,0.11113673720581067,0.09288917783930896,0.09204056038475465,0.05680119581464873
51,272976,278329,0.05794575120772235,0.04577532345610221,0.06031629594562911,0.11220166203968533,0.08597376936916643,0.08739708289466971,0.0638894078087054
52,278329,283681,0.0388349881170771,0.03333764600241722,0.03824376594581936,0.07661693263358887,0.052655994687534353,0.06136368683481868,0.044095665171898356
53,283681,289034,0.036349994960050806,0.031123454933943008,0.03637160383333406,0.07073344859506567,0.04992161033086669,0.05786796564666937,0.0440874276106856
54,289034,294386,0.03949832249035964,0.035201764518964486,0.03995263286323835,0.07969040709824772,0.04992412293308706,0.058204818742462514,0.04484304932735426
55,294386,299739,0.03846399259572645,0.034742865065770505,0.03752529608891742,0.0781075184885656,0.054280011806337125,0.06333687332790751,0.04334018307491126
56,299739,305091,0.043309748353122055,0.03856493671339115,0.04590781686624009,0.08062433989371659,0.05957569585566305,0.06458781810479725,0.053064275037369206
57,305091,310444,0.037026104398720866,0.036015583948829775,0.04154279690197023,0.07504858687320079,0.053355883935556944,0.06094956806490772,0.047823650289557255
58,310444,315796,0.040359770854470726,0.039326688712934085,0.04064351619679449,0.07402988021502122,0.052802228006826275,0.058842740473334536,0.04970104633781764
59,315796,321149,0.03848651975946821,0.040633893347396054,0.04817063684632826,0.0801022072220284,0.05889345972939842,0.06339678571101058,0.053054362039977584
60,321149,326501,0.041036515524072274,0.036534196961967615,0.041610042613718964,0.07230067411353995,0.05572369414810812,0.0632947853482565,0.04932735426008968
61,326501,331854,0.041118966192882626,0.03557560019045013,0.04103748447545134,0.07578891504875779,0.055294161818058574,0.06069202227336261,0.04857089482533159
62,331854,337206,0.03792383001952028,0.033726403431891414,0.04308889138153522,0.08245098243022535,0.06101431277987121,0.06578156641908765,0.05194319880418535
63,337206,342559,0.045436991474833203,0.04361214101811131,0.05249810904289291,0.09154709759584088,0.06519902284855088,0.07088782845403924,0.05492247337941341
64,342559,347911,0.04632469650044095,0.04051201845885824,0.0434684250062558,0.08601492222428693,0.06246518000856496,0.06768240095964734,0.05194319880418535
65,347911,353264,0.04165251581082682,0.03916427762503598,0.04417662833305939,0.08626669854387821,0.06023419378611543,0.06743400021252839,0.05118625070054175
66,353264,358616,0.036835405671344044,0.03273236590203438,0.03812994708549625,0.06633665068006468,0.051718792575142086,0.055762608645586347,0.04110612855007474
67,358616,363969,0.04353579164263719,0.04161903811729381,0.04630392776318808,0.08619858673547658,0.06029510222759055,0.06555000584100688,0.05268073977209042
68,363969,369321,0.04390462954950673,0.03707173805989485,0.0457335859566707,0.08753008386413387,0.07169438567560062,0.07214087708484535,0.05044843049327354
69,369321,374674,0.04194345715493911,0.038637622513559254,0.045683780986528054,0.08923510543028858,0.06723631524325427,0.07193945966992525,0.05454885111152625
70,374674,380026,0.04876407514715979,0.04076329775152948,0.050566085770871114,0.09398381724556117,0.06570502749211643,0.07334727354101156,0.05605381165919283
71,380026,385379,0.042762385838050566,0.03942432457082717,0.04700794086759799,0.08672454711090355,0.06520275876218513,0.07084042716906903,0.05679058471884924
72,385379,390731,0.04681926949425253,0.043715511199055646,0.05059758324565168,0.10162321610391259,0.07403748141432148,0.07423593066826664,0.052316890881913304
73,390731,396084,0.04121064143976941,0.04174992232873489,0.043533804019360335,0.08936276689852918,0.06444562834130312,0.07069801410894876,0.05043900616476742
74,396084,401436,0.04203175467940091,0.04018357124156136,0.0443656190449164,0.08942343654646234,0.06623318188362734,0.0713968848429945,0.04857997010463378
75,401436,406789,0.045560852518333354,0.039714108050894203,0.048110073085683276,0.08340494579873708,0.059545644306725036,0.06244760837493892,0.05417522884363908
76,406789,412141,0.04950950459286061,0.03637230281399804,0.04481935668694852,0.08803871171823524,0.06706817726615864,0.06967375968456584,0.04820627802690583
77,412141,417494,0.044366675728810714,0.04434062155057911,0.04940846954001439,0.08678345936806302,0.06276260700088769,0.06560105394885882,0.04931813936110592
78,417494,422846,0.0441624447357067,0.03816643475113171,0.046215073889394526,0.08352705787297021,0.06045722278894191,0.06250233442583229,0.0515695067264574
79,422846,428199,0.047420711948430706,0.0417499733339484,0.05245311901138926,0.09328233740418186,0.0697742439422778,0.06877037229538868,0.05230711750420325
80,428199,433551,0.04591132809010969,0.040600429345549895,0.046943136742124934,0.07616157588815559,0.06148364567399916,0.0619062901723234,0.0515695067264574
81,433551,438904,0.043977796856746985,0.03781081126669057,0.048287803203433774,0.07354107426881454,0.05870515200985447,0.05820384509110876,0.04969176162899309
82,438904,444256,0.045349844227805025,0.04076324293923932,0.047834874222148896,0.0813150053653675,0.06382757884160133,0.06345688110827376,0.0515695067264574
