comparison,left_experiment,right_experiment,metric,left_value,right_value,delta_left_minus_right,relative_delta_left_minus_right,lower_is_better,validation_comparability
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,train_input_static_brightness_mean,0.5529797077178955,0.6938994724183006,-0.14091976470040513,-0.20308383318016854,False,different_validation_split
ABC_size_matched_vs_B,act_ABC_size_matched,act_B,train_input_static_contrast_mean,0.2352849841117859,0.17307165912348157,0.062213324988304314,0.35946569937205564,False,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,best_val_action_l1,0.5668818224221468,0.5409390446729958,0.02594277774915099,0.04795878205618105,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,final_val_action_l1,0.6304311300627887,0.6485505253076553,-0.01811939524486661,-0.027938293992239453,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,final_minus_best_val_action_l1,0.06354930764064193,0.10761148063465953,-0.0440621729940176,-0.40945606113913136,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,selected_checkpoint_val_action_l1,0.571392897516489,0.5478160153143108,0.02357688220217824,0.04303795716642374,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,first_step_within_1pct_best_val,10000,15000,-5000.0,-0.3333333333333333,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,train_frames,535456,535403,53.0,9.899085361867603e-05,False,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,mean_action_l2_first6,0.5106190218638553,0.502717178582896,0.00790184328095933,0.015718267880229897,False,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,mean_step_delta_l2_first6,0.17126245227390274,0.22080283574653892,-0.049540383472636174,-0.2243647972415713,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,chunk_mean_boundary_jump_l2_first6,0.17248481704748045,0.1791689427733473,-0.006684125725866852,-0.037306274304037275,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,chunk_q90_boundary_jump_l2_first6,0.3056120024934522,0.32449569496274,-0.018883692469287783,-0.05819396917255278,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,gripper_switch_rate_per_1000_frames,25.02726647941194,23.612896762451786,1.4143697169601523,0.05989818746885906,True,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,train_input_static_brightness_mean,0.5503385663032532,0.686844527721405,-0.13650596141815186,-0.1987436106843685,False,different_validation_split
ABC_size_matched_aug_vs_B_aug,act_ABC_size_matched_aug,act_B_aug,train_input_static_contrast_mean,0.23108942806720734,0.16830632090568542,0.06278310716152191,0.3730288133189244,False,different_validation_split
