experiment,display_name,ablation_mode,chunk_t,mean_pred_l1_delta
act_lang_B,ACT-Lang-B,wrong_language,13,0.6320237517356873
act_lang_B,ACT-Lang-B,wrong_language,14,0.6420939564704895
act_lang_B,ACT-Lang-B,wrong_language,15,0.6393014788627625
act_lang_B,ACT-Lang-B,wrong_language,16,0.6438651084899902
act_lang_B,ACT-Lang-B,wrong_language,17,0.6437845826148987
act_lang_B,ACT-Lang-B,wrong_language,18,0.6432337760925293
act_lang_B,ACT-Lang-B,wrong_language,19,0.6406052112579346
act_lang_B,ACT-Lang-B,wrong_language,20,0.6364436149597168
act_lang_B,ACT-Lang-B,wrong_language,21,0.6348569989204407
act_lang_B,ACT-Lang-B,wrong_language,22,0.6274323463439941
act_lang_B,ACT-Lang-B,wrong_language,23,0.6264700889587402
act_lang_B,ACT-Lang-B,wrong_language,24,0.629986584186554
act_lang_B,ACT-Lang-B,wrong_language,25,0.6277201771736145
act_lang_B,ACT-Lang-B,wrong_language,26,0.628849446773529
act_lang_B,ACT-Lang-B,wrong_language,27,0.638739287853241
act_lang_B,ACT-Lang-B,wrong_language,28,0.6421718001365662
act_lang_B,ACT-Lang-B,wrong_language,29,0.6446024179458618
act_lang_B,ACT-Lang-B,wrong_language,30,0.6443272829055786
act_lang_B,ACT-Lang-B,wrong_language,31,0.6571381092071533
act_lang_B,ACT-Lang-B,wrong_language,32,0.6563941836357117
act_lang_B,ACT-Lang-B,wrong_language,33,0.6455424427986145
act_lang_B,ACT-Lang-B,wrong_language,34,0.6456483006477356
act_lang_B,ACT-Lang-B,wrong_language,35,0.6401922702789307
act_lang_B,ACT-Lang-B,wrong_language,36,0.63917475938797
act_lang_B,ACT-Lang-B,wrong_language,37,0.633957028388977
act_lang_B,ACT-Lang-B,wrong_language,38,0.6227267980575562
act_lang_B,ACT-Lang-B,wrong_language,39,0.6151716113090515
act_lang_B,ACT-Lang-B,wrong_language,40,0.6133076548576355
act_lang_B,ACT-Lang-B,wrong_language,41,0.6004291772842407
act_lang_B,ACT-Lang-B,wrong_language,42,0.5957335829734802
act_lang_B,ACT-Lang-B,wrong_language,43,0.5966538190841675
act_lang_B,ACT-Lang-B,wrong_language,44,0.6009901165962219
act_lang_B,ACT-Lang-B,wrong_language,45,0.6078367829322815
act_lang_B,ACT-Lang-B,wrong_language,46,0.613134503364563
act_lang_B,ACT-Lang-B,wrong_language,47,0.622981071472168
act_lang_B,ACT-Lang-B,wrong_language,48,0.6223552227020264
act_lang_B,ACT-Lang-B,wrong_language,49,0.6346655488014221
act_lang_B,ACT-Lang-B,wrong_language,50,0.6332268118858337
act_lang_B,ACT-Lang-B,wrong_language,51,0.6344589591026306
act_lang_B,ACT-Lang-B,wrong_language,52,0.6484101414680481
act_lang_B,ACT-Lang-B,wrong_language,53,0.6539657115936279
act_lang_B,ACT-Lang-B,wrong_language,54,0.6663051247596741
act_lang_B,ACT-Lang-B,wrong_language,55,0.6827155947685242
act_lang_B,ACT-Lang-B,wrong_language,56,0.6819663643836975
act_lang_B,ACT-Lang-B,wrong_language,57,0.6998124122619629
act_lang_B,ACT-Lang-B,wrong_language,58,0.6847382187843323
act_lang_B,ACT-Lang-B,wrong_language,59,0.683230996131897
act_lang_B,ACT-Lang-B,wrong_language,60,0.6735853552818298
act_lang_B,ACT-Lang-B,wrong_language,61,0.6649011969566345
act_lang_B,ACT-Lang-B,wrong_language,62,0.6687556505203247
act_lang_B,ACT-Lang-B,wrong_language,63,0.6551192402839661
act_lang_B,ACT-Lang-B,wrong_language,64,0.655547559261322
act_lang_B,ACT-Lang-B,wrong_language,65,0.508793294429779
act_lang_B,ACT-Lang-B,wrong_language,66,0.528022289276123
act_lang_B,ACT-Lang-B,wrong_language,67,0.4928959310054779
act_lang_B,ACT-Lang-B,wrong_language,68,0.549501895904541
act_lang_B,ACT-Lang-B,wrong_language,69,0.5488920211791992
act_lang_B,ACT-Lang-B,wrong_language,70,0.5989275574684143
act_lang_B,ACT-Lang-B,wrong_language,71,0.48449480533599854
act_lang_B,ACT-Lang-B,wrong_language,72,0.4662981629371643
act_lang_B,ACT-Lang-B,wrong_language,73,0.5381239056587219
act_lang_B,ACT-Lang-B,wrong_language,74,0.5941808223724365
act_lang_B,ACT-Lang-B,wrong_language,75,0.4698445200920105
act_lang_B,ACT-Lang-B,wrong_language,76,0.510071337223053
act_lang_B,ACT-Lang-B,wrong_language,77,0.4921915531158447
act_lang_B,ACT-Lang-B,wrong_language,78,0.49554532766342163
act_lang_B,ACT-Lang-B,wrong_language,79,0.5909236669540405
act_lang_B,ACT-Lang-B,wrong_language,80,0.5399311184883118
act_lang_B,ACT-Lang-B,wrong_language,81,0.5261128544807434
act_lang_B,ACT-Lang-B,wrong_language,82,0.5333275198936462
act_lang_B,ACT-Lang-B,wrong_language,83,0.5389890074729919
act_lang_B,ACT-Lang-B,wrong_language,84,0.622270941734314
act_lang_B,ACT-Lang-B,wrong_language,85,0.454538494348526
act_lang_B,ACT-Lang-B,wrong_language,86,0.40572690963745117
act_lang_B,ACT-Lang-B,wrong_language,87,0.5822939276695251
act_lang_B,ACT-Lang-B,wrong_language,88,0.5047085285186768
act_lang_B,ACT-Lang-B,wrong_language,89,0.46928369998931885
act_lang_B,ACT-Lang-B,wrong_language,90,0.4405272305011749
act_lang_B,ACT-Lang-B,wrong_language,91,0.4905112683773041
act_lang_B,ACT-Lang-B,wrong_language,92,0.4320738613605499
act_lang_B,ACT-Lang-B,wrong_language,93,0.4742932617664337
act_lang_B,ACT-Lang-B,wrong_language,94,0.4562869966030121
act_lang_B,ACT-Lang-B,wrong_language,95,0.4286397099494934
act_lang_B,ACT-Lang-B,wrong_language,96,0.5250413417816162
act_lang_B,ACT-Lang-B,wrong_language,97,0.4330761134624481
act_lang_B,ACT-Lang-B,wrong_language,98,0.47728651762008667
act_lang_B,ACT-Lang-B,wrong_language,99,0.5206304788589478
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,0,0.49530109763145447
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,1,0.5120218396186829
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,2,0.5133927464485168
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,3,0.5237891674041748
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,4,0.5330485701560974
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,5,0.5362158417701721
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,6,0.5290186405181885
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,7,0.5271238684654236
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,8,0.5414281487464905
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,9,0.5509463548660278
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,10,0.5583129525184631
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,11,0.5630999207496643
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,12,0.5649072527885437
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,13,0.5623655319213867
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,14,0.5579277873039246
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,15,0.5457286834716797
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,16,0.5372065305709839
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,17,0.5409565567970276
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,18,0.5476462841033936
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,19,0.5523953437805176
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,20,0.562120795249939
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,21,0.5705679655075073
act_lang_ABC_200k,ACT-Lang-ABC 200k,zero_language,22,0.573670506477356
