experiment,display_name,mode,action_dim,mean_action_l1,std_action_l1,q90_action_l1
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,2,0.8024285435676575,0.6129421591758728,1.6349363327026367
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,3,0.7971904873847961,0.4499824047088623,1.3355803489685059
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,4,0.8614502549171448,0.5324647426605225,1.4958688020706177
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,5,0.6327273845672607,0.5389643311500549,1.6051385402679443
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,zero_language,6,0.5710487961769104,0.5528038740158081,1.4042668342590332
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,0,0.7121517658233643,0.49485549330711365,1.4467965364456177
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,1,0.8084607124328613,0.6433644890785217,1.6654407978057861
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,2,0.8845563530921936,0.5642408132553101,1.6351280212402344
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,3,0.8125750422477722,0.43261435627937317,1.324265718460083
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,4,0.9620832204818726,0.5409114956855774,1.6699997186660767
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,5,0.8223158121109009,0.7100954055786133,2.010110855102539
act_lang_ABC_size_matched,ACT-Lang-ABC Size-Matched,wrong_language,6,0.6024080514907837,0.5658150315284729,1.4702411890029907
